merge_key,name,times_scores_citations,the_score,qs_score,teaching,subjects_offered,nid,aliases,international_students,disabled,city,year,unaccredited,size,students_to_staff_ratio,research_quality,female_to_male_ratio,country,international_outlook,research_environment,industry_impact,region,closed,acronym,student_population,type,research_output,overall_score
karshiengineeringeconomicsinstitute,,,,,,"Accounting & Finance,General Engineering,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Civil Engineering,Physics & Astronomy,Chemical Engineering,Computer Science,Business & Management,Mathematics & Statistics,Agriculture & Forestry,Electrical & Electronic Engineering",724244.0,Karshi Engineering Economics Institute,,False,,,False,,,,,,,,,,False,,,,,
karunyainstituteoftechnologyandsciences,Karunya Institute of Technology and Sciences,48.4,32.037,,22.2,"General Engineering,Sociology,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Computer Science,Agriculture & Forestry,Biological Sciences,Chemistry,Electrical & Electronic Engineering,Business & Management",622209.0,Karunya Institute of Technology and Sciences,0%,False,,2026.0,False,,15.2,60.6,37 : 63,India,22.4,15.6,27.6,,False,,"7,715",,,
kasetsartuniversity,Kasetsart University,23.5,22.782,,18.8,"Computer Science,Physics & Astronomy,Education,Archaeology,Biological Sciences,Law,Medicine & Dentistry,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),Economics & Econometrics,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Accounting & Finance,General Engineering,Sport Science,Geography,Languages, Literature & Linguistics,Civil Engineering,Communication & Media Studies,Architecture,Chemical Engineering,Chemistry,Other Health,Mathematics & Statistics,Psychology,Art, Performing Arts & Design,Agriculture & Forestry,Sociology,History, Philosophy & Theology,Veterinary Science,Business & Management",131364.0,Kasetsart University,1%,False,Bangkok,2026.0,False,XL,17.3,27.8,61 : 39,Thailand,35.0,15.9,41.5,Asia,False,,"69,827",Public,High,
kashanuniversityofmedicalsciencesandhealthservices,Kashan University of Medical Sciences and Health Services,75.6,28.725,,29.2,"Other Health,Psychology,Medicine & Dentistry",701449.0,Kashan University of Medical Sciences and Health Services,4%,False,,2026.0,False,,0.7,48.7,57 : 43,Iran,29.0,9.0,17.9,,False,,"3,416",,,
kastamonuuniversity,Kastamonu University,35.8,24.668,,15.3,"Languages, Literature & Linguistics,Education,Economics & Econometrics,Communication & Media Studies,Civil Engineering,Mechanical & Aerospace Engineering,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,Accounting & Finance,Medicine & Dentistry,Biological Sciences,Agriculture & Forestry,General Engineering,Chemistry,Sociology,Art, Performing Arts & Design,Electrical & Electronic Engineering,Psychology,Veterinary Science,Sport Science,Mathematics & Statistics,Geology, Environmental, Earth & Marine Sciences",691279.0,Kastamonu University,11%,False,,2026.0,False,,31.4,44.3,46 : 54,Turkey,35.1,12.0,18.8,,False,,"16,697",,,
kaunasuniversityoftechnology,Kaunas University of Technology,39.0,34.081999999999994,,25.2,"Other Health,Agriculture & Forestry,Accounting & Finance,History, Philosophy & Theology,Physics & Astronomy,General Engineering,Chemical Engineering,Architecture,Civil Engineering,Education,Mechanical & Aerospace Engineering,Sociology,Art, Performing Arts & Design,Chemistry,Computer Science,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Business & Management,Electrical & Electronic Engineering,Mathematics & Statistics,Communication & Media Studies,Economics & Econometrics",131361.0,Kaunas University of Technology,11%,False,Kaunas,2026.0,False,M,13.0,52.8,34 : 66,Lithuania,42.2,19.9,46.8,Europe,False,,"7,308",Public,Very High,
kazakh-britishtechnicaluniversity,,,,,,"Business & Management,Physics & Astronomy,Accounting & Finance,Chemical Engineering,Economics & Econometrics,General Engineering,Chemistry,Geology, Environmental, Earth & Marine Sciences,Electrical & Electronic Engineering,Mathematics & Statistics,Mechanical & Aerospace Engineering",131661.0,Kazakh-British Technical University,,False,Almaty,,False,S,,,,,,,,Asia,False,,,Public,High,
kazakhablaikhanuniversityofinternationalrelationsandworldlanguages,,,,,,,,,,,Almaty,,,M,,,,,,,,Asia,,,,Public,Low,
kazakhnationalagrarianresearchuniversity,Kazakh National Agrarian Research University,,17.697499999999998,,23.7,,,,6%,,,2026.0,,,11.3,15.9,50 : 50,Kazakhstan,38.2,8.3,16.6,,,,"6,042",,,
kazakhnationalagrarianuniversitykaznau,,,,,,,,,,,Almaty,,,M,,,,,,,,Asia,,,,Public,Low,
