Unnamed: 0,latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
786,23301.0,11802.0,11802.0,490.0,460.0,610.0,590.0,1040.0,,,21.0,Boise Bible College,Predominantly bachelor's-degree,Bachelor's
787,28224.0,9048.0,27788.0,,,,,,,,,Boise State University,Predominantly bachelor's-degree,Graduate
788,13947.0,3390.0,6750.0,,,,,,,,,College of Eastern Idaho,Predominantly associate's-degree,Associate's
789,21527.0,8610.0,27720.0,,,,,,,,,Idaho State University,Predominantly bachelor's-degree,Graduate
790,23738.0,9084.0,28320.0,500.0,490.0,630.0,600.0,1116.0,20.0,26.0,24.0,University of Idaho,Predominantly bachelor's-degree,Graduate
791,50542.0,37845.0,37845.0,540.0,530.0,650.0,630.0,1180.0,23.0,31.0,26.0,The College of Idaho,Predominantly bachelor's-degree,Graduate
792,21925.0,7610.0,22028.0,,,,,,,,,Lewis-Clark State College,Predominantly bachelor's-degree,Graduate
794,18333.0,3396.0,8736.0,,,,,,,,,North Idaho College,Predominantly certificate-degree,Associate's
795,55163.0,40794.0,40794.0,515.0,490.0,630.0,610.0,1130.0,22.0,27.0,23.0,Northwest Nazarene University,Predominantly bachelor's-degree,Graduate
797,15246.0,4800.0,4800.0,490.0,480.0,610.0,590.0,1118.0,20.0,26.0,23.0,Brigham Young University-Idaho,Predominantly certificate-degree,Bachelor's
798,12803.0,3360.0,6840.0,,,,,,,,,College of Southern Idaho,Predominantly associate's-degree,Bachelor's
801,75625.0,56420.0,56420.0,,,,,,,,,School of the Art Institute of Chicago,Predominantly bachelor's-degree,Graduate
802,63553.0,51598.0,51598.0,520.0,510.0,630.0,640.0,1165.0,21.0,29.0,,Augustana College,Predominantly bachelor's-degree,Graduate
803,40625.0,29170.0,29170.0,470.0,430.0,580.0,570.0,1076.0,21.0,29.0,22.0,Aurora University,Predominantly bachelor's-degree,Graduate
804,16249.0,3960.0,6720.0,,,,,,,,,Southwestern Illinois College,Predominantly certificate-degree,Associate's
806,12291.0,4920.0,8100.0,,,,,,,,,Black Hawk College,Predominantly certificate-degree,Associate's
807,37916.0,28149.0,28149.0,,,,,,,,20.0,Blackburn College,Predominantly bachelor's-degree,Bachelor's
809,54730.0,42160.0,42160.0,,,,,,,,27.0,Bradley University,Predominantly bachelor's-degree,Graduate
815,11563.0,5390.0,8900.0,,,,,,,,,Carl Sandburg College,Predominantly associate's-degree,Associate's
819,29764.0,12754.0,12754.0,,,,,,,,,Chicago State University,Predominantly bachelor's-degree,Graduate
821,90360.0,70662.0,70662.0,740.0,770.0,780.0,800.0,1554.0,34.0,35.0,34.0,University of Chicago,Predominantly bachelor's-degree,Graduate
822,16256.0,4590.0,15150.0,,,,,,,,,City Colleges of Chicago-Kennedy-King College,Predominantly certificate-degree,Associate's
823,14355.0,4590.0,15150.0,,,,,,,,,City Colleges of Chicago-Malcolm X College,Predominantly certificate-degree,Associate's
824,16126.0,4590.0,15150.0,,,,,,,,,City Colleges of Chicago-Olive-Harvey College,Predominantly certificate-degree,Associate's
825,15063.0,4590.0,15150.0,,,,,,,,,City Colleges of Chicago-Harry S Truman College,Predominantly certificate-degree,Associate's
826,14086.0,4590.0,15150.0,,,,,,,,,City Colleges of Chicago-Richard J Daley College,Predominantly certificate-degree,Associate's
827,14726.0,4590.0,15150.0,,,,,,,,,City Colleges of Chicago-Harold Washington College,Predominantly associate's-degree,Associate's
828,13762.0,4590.0,15150.0,,,,,,,,,City Colleges of Chicago-Wilbur Wright College,Predominantly associate's-degree,Associate's
829,51889.0,34088.0,34088.0,,,,,,,,,Columbia College Chicago,Predominantly bachelor's-degree,Graduate
830,45383.0,37488.0,37488.0,,,,,,,,,Concordia University-Chicago,Predominantly bachelor's-degree,Graduate
831,10822.0,4440.0,7440.0,,,,,,,,,Danville Area Community College,Predominantly associate's-degree,Associate's
833,63052.0,45999.0,45999.0,580.0,560.0,670.0,660.0,1262.0,25.0,31.0,,DePaul University,Predominantly bachelor's-degree,Graduate
835,15554.0,4560.0,12750.0,,,,,,,,,College of DuPage,Predominantly associate's-degree,Associate's
836,32606.0,25395.0,25395.0,,,,,,,,,East-West University,Predominantly bachelor's-degree,Bachelor's
837,26996.0,13679.0,16217.0,460.0,420.0,560.0,530.0,1000.0,,,20.0,Eastern Illinois University,Predominantly bachelor's-degree,Graduate
838,10408.0,3252.0,9516.0,,,,,,,,,Elgin Community College,Predominantly certificate-degree,Associate's
839,54679.0,42955.0,42955.0,510.0,480.0,640.0,620.0,1151.0,23.0,30.0,26.0,Elmhurst University,Predominantly bachelor's-degree,Graduate
840,39578.0,29096.0,29096.0,,,,,,,,20.0,Eureka College,Predominantly bachelor's-degree,Bachelor's
842,22971.0,17670.0,17670.0,,,,,,,,,Fox College,Predominantly associate's-degree,Associate's
845,24227.0,12004.0,12004.0,,,,,,,,19.0,Governors State University,Predominantly bachelor's-degree,Graduate
846,26391.0,8417.0,8417.0,,,,,,,,,Graham Hospital School of Nursing,Predominantly certificate-degree,Certificate
