Unnamed: 0,latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
847,45091.0,32200.0,32200.0,406.0,365.0,615.0,615.0,1038.0,16.0,28.0,18.0,Greenville University,Predominantly bachelor's-degree,Graduate
851,35559.0,15150.0,15150.0,,,,,,,,,Hebrew Theological College,Predominantly bachelor's-degree,Bachelor's
852,13161.0,4936.0,7360.0,,,,,,,,,Highland Community College,Predominantly certificate-degree,Associate's
854,27521.0,14338.0,29884.0,570.0,560.0,670.0,680.0,1250.0,25.0,31.0,27.0,University of Illinois Chicago,Predominantly bachelor's-degree,Graduate
855,46713.0,35940.0,35940.0,,,,,,,,24.0,Benedictine University,Predominantly bachelor's-degree,Graduate
857,33642.0,16004.0,35124.0,650.0,660.0,740.0,780.0,1440.0,30.0,34.0,32.0,University of Illinois Urbana-Champaign,Predominantly bachelor's-degree,Graduate
858,70700.0,57704.0,57704.0,550.0,570.0,670.0,670.0,1275.0,25.0,30.0,27.0,Illinois Wesleyan University,Predominantly bachelor's-degree,Bachelor's
859,18938.0,4800.0,12150.0,,,,,,,,,Illinois Central College,Predominantly certificate-degree,Associate's
860,48955.0,38676.0,38676.0,450.0,433.0,590.0,590.0,1064.0,19.0,26.0,21.0,Illinois College,Predominantly bachelor's-degree,Graduate
861,17333.0,5260.0,12460.0,,,,,,,,,Illinois Eastern Community Colleges,Predominantly certificate-degree,Associate's
862,68164.0,52386.0,52386.0,590.0,590.0,720.0,720.0,1311.0,26.0,32.0,29.0,Illinois Institute of Technology,Predominantly bachelor's-degree,Graduate
863,34309.0,16144.0,28210.0,500.0,490.0,620.0,590.0,1113.0,21.0,27.0,24.0,Illinois State University,Predominantly bachelor's-degree,Graduate
864,11067.0,4200.0,16385.0,,,,,,,,,Illinois Valley Community College,Predominantly certificate-degree,Associate's
866,13596.0,4630.0,7540.0,,,,,,,,,John A Logan College,Predominantly associate's-degree,Associate's
867,15845.0,5700.0,9300.0,,,,,,,,,John Wood Community College,Predominantly associate's-degree,Associate's
868,9452.0,4530.0,13800.0,,,,,,,,,Joliet Junior College,Predominantly certificate-degree,Associate's
869,43137.0,31360.0,31360.0,423.0,393.0,550.0,568.0,1039.0,16.0,24.0,22.0,Judson University,Predominantly bachelor's-degree,Graduate
870,11612.0,5220.0,25830.0,,,,,,,,,Kankakee Community College,Predominantly certificate-degree,Associate's
871,11819.0,4800.0,12570.0,,,,,,,,,Kaskaskia College,Predominantly certificate-degree,Associate's
872,13901.0,4560.0,13680.0,,,,,,,,,Kishwaukee College,Predominantly certificate-degree,Associate's
