latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.city,school.state,school.region_id,school.degrees_awarded.predominant,school.degrees_awarded.highest
11220.0,5278.0,9664.0,,,,,,,,,Snead State Community College,Boaz,AL,Southeast,Certificate,Associate
25476.0,10116.0,19092.0,500.0,470.0,610.0,580.0,1147.0,20.0,26.0,23.0,University of South Alabama,Mobile,AL,Southeast,Bachelor,Graduate
39936.0,24054.0,24054.0,,,,,1120.0,17.0,29.0,19.0,Spring Hill College,Mobile,AL,Southeast,Bachelor,Graduate
26107.0,12126.0,12126.0,,,,,,,,,Stillman College,Tuscaloosa,AL,Southeast,Bachelor,Bachelor
25185.0,15650.0,15650.0,,,,,,,,,Talladega College,Talladega,AL,Southeast,Bachelor,Graduate
16971.0,5190.0,9060.0,,,,,,,,,H Councill Trenholm State Community College,Montgomery,AL,Southeast,Certificate,Associate
23165.0,10176.0,20352.0,490.0,450.0,620.0,590.0,1088.0,18.0,25.0,21.0,Troy University,Troy,AL,Southeast,Bachelor,Graduate
43454.0,25386.0,25386.0,,,,,1120.0,18.0,25.0,22.0,Tuskegee University,Tuskegee,AL,Southeast,Bachelor,Graduate
32606.0,13800.0,13800.0,,,,,,,,,United States Sports University,Daphne,AL,Southeast,Bachelor,Graduate
13827.0,4734.0,8346.0,,,,,,,,,Bevill State Community College,Jasper,AL,Southeast,Certificate,Associate
24096.0,7738.0,21322.0,,,,,,,,,University of Alaska Anchorage,Anchorage,AK,Northwest,Bachelor,Graduate
28903.0,9730.0,9730.0,,,,,,,,,Alaska Bible College,Palmer,AK,Northwest,Bachelor,Bachelor
22407.0,8736.0,22320.0,,,,,,,,22.0,University of Alaska Fairbanks,Fairbanks,AK,Northwest,Bachelor,Graduate
21043.0,7056.0,20640.0,,,,,,,,,University of Alaska Southeast,Juneau,AK,Northwest,Certificate,Graduate
34026.0,20760.0,20760.0,,,,,,,,,Alaska Pacific University,Anchorage,AK,Northwest,Associate,Graduate
41344.0,18375.0,18375.0,,,,,,,,,Charter College,Anchorage,AK,Northwest,Certificate,Bachelor
30111.0,12223.0,33139.0,,,,,,,,,Arizona State University Campus Immersion,Tempe,AZ,Southwest,Bachelor,Graduate
15868.0,3060.0,9870.0,,,,,,,,,Arizona Western College,Yuma,AZ,Southwest,Certificate,Associate
29423.0,13926.0,42278.0,580.0,570.0,700.0,720.0,1246.0,21.0,29.0,25.0,University of Arizona,Tucson,AZ,Southwest,Bachelor,Graduate
10720.0,2250.0,4500.0,,,,,,,,,Central Arizona College,Coolidge,AZ,Southwest,Certificate,Associate
14342.0,2280.0,6120.0,,,,,,,,,Cochise County Community College District,Sierra Vista,AZ,Southwest,Associate,Associate
16696.0,2352.0,9552.0,,,,,,,,,Eastern Arizona College,Thatcher,AZ,Southwest,Certificate,Associate
62798.0,44149.0,44149.0,580.0,560.0,680.0,690.0,1250.0,24.0,29.0,26.0,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,Southwest,Bachelor,Graduate
18037.0,2358.0,8958.0,,,,,,,,,Glendale Community College,Glendale,AZ,Southwest,Certificate,Associate
32702.0,17850.0,17850.0,518.0,488.0,580.0,533.0,1077.0,20.0,22.0,,Grand Canyon University,Phoenix,AZ,Southwest,Bachelor,Graduate
19314.0,2358.0,8958.0,,,,,,,,,GateWay Community College,Phoenix,AZ,Southwest,Certificate,Associate
18194.0,2358.0,8958.0,,,,,,,,,Mesa Community College,Mesa,AZ,Southwest,Certificate,Associate
11837.0,2208.0,7968.0,,,,,,,,,Mohave Community College,Kingman,AZ,Southwest,Certificate,Associate
11923.0,1410.0,1410.0,,,,,,,,,Dine College,Tsaile,AZ,Southwest,Associate,Graduate
29933.0,13009.0,29881.0,,,,,,,,,Northern Arizona University,Flagstaff,AZ,Southwest,Bachelor,Graduate
14263.0,2232.0,10320.0,,,,,,,,,Northland Pioneer College,Holbrook,AZ,Southwest,Certificate,Bachelor
18594.0,2358.0,8958.0,,,,,,,,,Phoenix College,Phoenix,AZ,Southwest,Certificate,Associate
9851.0,2442.0,7758.0,,,,,,,,,Pima Community College,Tucson,AZ,Southwest,Certificate,Associate
48532.0,35685.0,35685.0,,,,,,,,,Prescott College,Prescott,AZ,Southwest,Bachelor,Graduate
13425.0,2358.0,8958.0,,,,,,,,,Rio Salado College,Tempe,AZ,Southwest,Certificate,Associate
19281.0,2358.0,8958.0,,,,,,,,,Scottsdale Community College,Scottsdale,AZ,Southwest,Certificate,Associate
