latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
16307.0,3880.0,5560.0,,,,,,,,,University of Arkansas Hope-Texarkana,Certificate,Associate
13096.0,3696.0,4272.0,,,,,,,,,University of Arkansas Community College Rich Mountain,Certificate,Associate
21735.0,6246.0,6246.0,,,,,,,,,Shorter College,Associate,Associate
33597.0,21070.0,21070.0,,,,,980.0,16.0,21.0,22.0,Williams Baptist University,Bachelor,Graduate
12932.0,3324.0,5532.0,,,,,,,,,South Arkansas College,Certificate,Associate
24951.0,9960.0,15690.0,450.0,425.0,565.0,540.0,1047.0,17.0,24.0,22.0,Southern Arkansas University Main Campus,Bachelor,Graduate
17294.0,5040.0,6480.0,,,,,,,,,Southern Arkansas University Tech,Certificate,Associate
19048.0,7334.0,12182.0,,,,,1050.0,18.0,23.0,,University of Arkansas-Fort Smith,Associate,Graduate
48036.0,30736.0,30736.0,,,,,,,,,Academy of Art University,Bachelor,Graduate
18185.0,1258.0,9898.0,,,,,,,,,College of Alameda,Associate,Associate
13214.0,1156.0,9892.0,,,,,,,,,Allan Hancock College,Certificate,Associate
55682.0,40650.0,40650.0,,,,,,,,,American Academy of Dramatic Arts-Los Angeles,Associate,Associate
16384.0,1288.0,12616.0,,,,,,,,,American River College,Associate,Associate
12931.0,1124.0,9548.0,,,,,,,,,Antelope Valley Community College District,Associate,Bachelor
75649.0,54170.0,54170.0,,,,,,,,,Art Center College of Design,Bachelor,Graduate
56313.0,44458.0,44458.0,515.0,468.0,615.0,623.0,1195.0,25.0,30.0,22.0,Azusa Pacific University,Bachelor,Graduate
22018.0,1430.0,11300.0,,,,,,,,,Bakersfield College,Associate,Bachelor
22193.0,1104.0,9744.0,,,,,,,,,Barstow Community College,Associate,Associate
13575.0,7220.0,7220.0,,,,,,,,,Bethesda University,Bachelor,Graduate
